name,STOI,PESQ,Csig,Cbak,Covl,SDR,SISDR,LSD,SSIM
001381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79942601559629,0.4537663833571785
011019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.287536002505042,0.4698031432824863
013706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.651272617495072,0.2944221136163066
014653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2425983038680157,0.42584117606129784
076363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.374878214632578,0.5932021285435974
085307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.075001979097381,0.4977497994681976
110743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0423989380273437,0.4617495026981379
113262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253476340100578,0.5415124436772217
